Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1.70251E+12,0.0005078,0.000536,0.0005005,0.000536,43383471,1.70251E+12,22430.52548,171,35229464,18209.186,0
1.70251E+12,0.0005352,0.0005826,0.0005321,0.0005798,133772619,1.70252E+12,73810.84475,586,71385743,39438.24839,0
1.70252E+12,0.0005827,0.0006475,0.0005827,0.0006017,284654859,1.70252E+12,174963.5869,1315,105415537,64671.7212,0
1.70252E+12,0.000606,0.00063,0.0005937,0.000626,135271150,1.70252E+12,83062.87031,595,67032793,41134.50353,0
1.70252E+12,0.000626,0.0006638,0.0006187,0.0006485,164654591,1.70252E+12,105404.1843,799,86594093,55549.14737,0
1.70252E+12,0.0006474,0.0006474,0.0006011,0.0006108,62419174,1.70252E+12,38968.45351,276,29705896,18536.17851,0
1.70252E+12,0.0006134,0.0006351,0.0006036,0.0006203,58034304,1.70252E+12,36111.26884,250,22036832,13772.49522,0
1.70252E+12,0.0006202,0.0006344,0.0006133,0.0006282,46200308,1.70253E+12,28743.36955,190,18252060,11334.82958,0
1.70253E+12,0.0006281,0.0006377,0.000617,0.0006269,30390190,1.70253E+12,19032.528,200,19352154,12114.27807,0
1.70253E+12,0.0006261,0.0006292,0.0006024,0.0006024,54739613,1.70253E+12,33611.66786,196,14909813,9168.539391,0
1.70253E+12,0.0006,0.0006194,0.0005929,0.0006192,31657175,1.70253E+12,19290.29132,167,16471161,10057.55029,0
1.70253E+12,0.0006191,0.0006192,0.0005714,0.0005971,117268627,1.70253E+12,69392.79817,454,35880096,21309.50548,0
1.70253E+12,0.0005963,0.0006164,0.0005931,0.0006101,52937036,1.70254E+12,32132.7231,213,30479202,18584.19128,0
1.70254E+12,0.0006091,0.000625,0.000609,0.0006219,57176814,1.70254E+12,35349.02849,257,29722584,18393.68861,0
1.70254E+12,0.0006238,0.0006314,0.0006018,0.0006035,118026469,1.70254E+12,72222.14077,322,52814505,32343.74604,0
1.70254E+12,0.0006062,0.0006202,0.0006062,0.0006075,22202661,1.70254E+12,13596.3519,126,14729346,9016.286993,0
1.70254E+12,0.0006067,0.0006069,0.0005842,0.0005992,56325915,1.70254E+12,33593.15855,302,31774526,19001.27636,0
1.70254E+12,0.000599,0.0006037,0.000588,0.0005946,16462423,1.70254E+12,9842.816628,106,11165477,6686.796871,0
1.70254E+12,0.0005901,0.0006133,0.000588,0.000597,27282422,1.70255E+12,16376.13695,146,16041640,9655.881068,0
1.70255E+12,0.0005945,0.0006199,0.0005911,0.0006182,30732401,1.70255E+12,18590.68298,150,17981664,10935.72887,0
1.70255E+12,0.0006108,0.0006224,0.0006047,0.0006108,30072255,1.70255E+12,18450.06459,351,15770559,9702.999922,0
1.70255E+12,0.000609,0.0006246,0.0006064,0.0006113,68707506,1.70255E+12,42135.10201,391,25051000,15491.99026,0
1.70255E+12,0.0006113,0.0006499,0.0005999,0.0006279,122813061,1.70255E+12,75755.7529,546,38077476,23918.75069,0
1.70255E+12,0.0006265,0.0006335,0.0006154,0.000626,46893309,1.70256E+12,29365.97723,277,13774952,8614.266278,0
1.70256E+12,0.0006262,0.0006465,0.0006203,0.0006412,116022502,1.70256E+12,73103.7319,550,20553179,13122.15938,0
1.70256E+12,0.0006406,0.0006458,0.0006192,0.0006234,103121231,1.70256E+12,65118.75203,509,58070792,36498.97746,0
1.70256E+12,0.0006266,0.0006292,0.0005821,0.0005821,57951232,1.70256E+12,34971.90002,406,15989311,9737.613686,0
1.70256E+12,0.0005821,0.0006104,0.0005506,0.0006038,125857923,1.70256E+12,75124.07644,770,47124202,27985.69914,0
1.70256E+12,0.0006037,0.0006324,0.0005948,0.0006236,29108115,1.70256E+12,17775.4924,400,16659536,10182.57096,0
1.70256E+12,0.0006239,0.0006317,0.0006095,0.0006259,35840297,1.70257E+12,22242.7052,285,26204711,16251.10206,0
1.70257E+12,0.0006249,0.0006333,0.0006079,0.000615,12125669,1.70257E+12,7517.780361,163,3388855,2094.465108,0
1.70257E+12,0.000612,0.0006868,0.0006115,0.0006763,228679721,1.70257E+12,152187.1742,1095,39800496,26025.52413,0
1.70257E+12,0.0006728,0.0007187,0.0006688,0.0007023,485732964,1.70257E+12,336309.0388,2025,279524310,192498.3294,0
1.70257E+12,0.0006991,0.000739,0.0006859,0.0007289,161450714,1.70257E+12,114473.3859,1057,71296650,50953.69646,0
1.70257E+12,0.0007289,0.0007746,0.0007191,0.0007478,146154771,1.70257E+12,109284.5154,854,81244784,60919.99396,0
1.70258E+12,0.0007497,0.0007748,0.0007209,0.0007323,254234782,1.70258E+12,190586.8132,1247,150638365,112029.441,0
1.70258E+12,0.0007367,0.00076,0.0007201,0.000742,118152448,1.70258E+12,87048.90641,664,84429084,62254.78347,0
1.70258E+12,0.0007421,0.0007421,0.0007104,0.0007229,38232674,1.70258E+12,27627.04644,475,15700805,11346.45745,0
1.70258E+12,0.000725,0.0007357,0.0007137,0.0007324,108962928,1.70258E+12,78262.15867,429,25893430,18642.88622,0
1.70258E+12,0.0007293,0.0007363,0.0007165,0.0007328,23171333,1.70258E+12,16874.70012,197,11446211,8357.18204,0
1.70258E+12,0.0007285,0.000733,0.0007198,0.0007276,52241090,1.70259E+12,37811.52654,320,10442901,7560.122592,0
1.70259E+12,0.0007272,0.000759,0.000727,0.0007516,32531340,1.70259E+12,24195.41081,354,15517625,11578.84984,0
1.70259E+12,0.0007583,0.000792,0.000748,0.0007823,54872826,1.70259E+12,42201.23129,814,30364679,23341.3594,0
1.70259E+12,0.0007823,0.0007823,0.0007238,0.0007387,41918329,1.70259E+12,31683.43528,456,15743764,11929.69349,0
1.70259E+12,0.0007394,0.0007498,0.0007221,0.0007382,96803753,1.70259E+12,71049.89603,528,42272398,31369.14114,0
1.70259E+12,0.0007404,0.0007481,0.0007302,0.000742,39394158,1.70259E+12,29124.74735,436,22270761,16470.89619,0
